match,teams,score,ht_score,date,formations,players
38645,"['Southampton', 'Wolves']","['3', '1']","['2', '1']",Sat 13 Apr 2019,"['3-4-2-1', '3-5-2']","[['Angus Gunn', 'Goalkeeper', '15269'], ['Jannik Vestergaard', 'Defender', '20109'], ['Maya Yoshida', 'Defender', '4605'], ['Jan Bednarek', 'Defender', '19589'], ['Pierre-Emile Højbjerg', 'Midfielder', '5272'], ['Yan Valery', 'Midfielder', '15011'], ['Ryan Bertrand', 'Midfielder', '2886'], ['James Ward-Prowse', 'Midfielder', '4617'], ['Nathan Redmond', 'Forward', '3811'], ['Josh Sims', 'Forward', '15374'], ['Danny Ings', 'Forward', '8245'], ['Rui Patrício', 'Goalkeeper', '11341'], ['Romain Saïss', 'Defender', '20745'], ['Willy-Arnaud Boly', 'Defender', '16204'], ['Conor Coady', 'Defender', '4136'], ['Matt Doherty', 'Midfielder', '4229'], ['Jonny Otto', 'Midfielder', '20277'], ['Leander Dendoncker', 'Midfielder', '5866'], ['Rúben Neves', 'Midfielder', '11180'], ['João Moutinho', 'Midfielder', '11259'], ['Raúl Jiménez', 'Forward', '11071'], ['Diogo Jota', 'Forward', '19758']]"
38646,"['Spurs', 'Huddersfield']","['4', '0']","['2', '0']",Sat 13 Apr 2019,"['3-4-1-2', '5-4-1']","[['Hugo Lloris', 'Goalkeeper', '4664'], ['Davinson Sánchez', 'Defender', '20224'], ['Jan Vertonghen', 'Defender', '4666'], ['Juan Foyth', 'Defender', '25309'], ['Moussa Sissoko', 'Midfielder', '4549'], ['Kyle Walker-Peters', 'Midfielder', '13815'], ['Ben Davies', 'Midfielder', '4408'], ['Victor Wanyama', 'Midfielder', '4816'], ['Lucas Moura', 'Forward', '5762'], ['Fernando Llorente', 'Forward', '5551'], ['Christian Eriksen', 'Forward', '4845'], ['Ben Hamer', 'Goalkeeper', '3183'], ['Christopher Schindler', 'Defender', '19607'], ['Florent Hadërgjonaj', 'Defender', '12173'], ['Terence Kongolo', 'Defender', '12359'], ['Erik Durm', 'Defender', '5097'], ['Jon Gorenc Stankovic', 'Defender', '11134'], ['Juninho Bacuna', 'Midfielder', '15687'], ['Jonathan Hogg', 'Midfielder', '3801'], ['Chris Löwe', 'Midfielder', '19608'], ['Elias Kachunga', 'Midfielder', '19611'], ['Karlan Grant', 'Forward', '10654']]"
38647,"['Watford', 'Arsenal']","['0', '1']","['0', '1']",Mon 15 Apr 2019,"['3-5-2', '4-2-3-1']","[['Ben Foster', 'Goalkeeper', '2932'], ['Christian Kabasele', 'Defender', '19605'], ['Daryl Janmaat', 'Defender', '10480'], ['Craig Cathcart', 'Defender', '3160'], ['Will Hughes', 'Midfielder', '8589'], ['Abdoulaye Doucouré', 'Midfielder', '13823'], ['Étienne Capoue', 'Midfielder', '4843'], ['Kiko Femenía', 'Midfielder', '22546'], ['Adam Masina', 'Midfielder', '49992'], ['Troy Deeney', 'Forward', '9947'], ['Andre Gray', 'Forward', '9060'], ['Bernd Leno', 'Goalkeeper', '4985'], ['Konstantinos Mavropanos', 'Defender', '32638'], ['Nacho Monreal', 'Defender', '4472'], ['Laurent Koscielny', 'Defender', '4030'], ['Shkodran Mustafi', 'Defender', '3869'], ['Lucas Torreira', 'Midfielder', '23033'], ['Granit Xhaka', 'Midfielder', '12136'], ['Aaron Ramsey', 'Midfielder', '3548'], ['Alex Iwobi', 'Midfielder', '4717'], ['Henrikh Mkhitaryan', 'Midfielder', '5102'], ['Pierre-Emerick Aubameyang', 'Forward', '5110']]"
38648,"['Arsenal', 'Crystal Palace']","['2', '3']","['0', '1']",Sun 21 Apr 2019,"['3-4-1-2', '4-4-2']","[['Bernd Leno', 'Goalkeeper', '4985'], ['Shkodran Mustafi', 'Defender', '3869'], ['Laurent Koscielny', 'Defender', '4030'], ['Konstantinos Mavropanos', 'Defender', '32638'], ['Carl Jenkinson', 'Midfielder', '4248'], ['Mohamed Elneny', 'Midfielder', '5239'], ['Sead Kolasinac', 'Midfielder', '5368'], ['Mattéo Guendouzi', 'Midfielder', '50512'], ['Alexandre Lacazette', 'Forward', '6899'], ['Pierre-Emerick Aubameyang', 'Forward', '5110'], ['Mesut Özil', 'Forward', '4714'], ['Vicente Guaita', 'Goalkeeper', '7548'], ['Joel Ward', 'Defender', '3929'], ['Aaron Wan-Bissaka', 'Defender', '14164'], ['Martin Kelly', 'Defender', '3644'], ['Scott Dann', 'Defender', '3807'], ['Luka Milivojevic', 'Midfielder', '5859'], ['James McArthur', 'Midfielder', '4224'], ['Cheikhou Kouyaté', 'Midfielder', '5861'], ['Max Meyer', 'Midfielder', '5377'], ['Wilfried Zaha', 'Forward', '4539'], ['Christian Benteke', 'Forward', '4492']]"
38649,"['Bournemouth', 'Fulham']","['0', '1']","['0', '0']",Sat 20 Apr 2019,"['4-4-2', '4-2-3-1']","[['Artur Boruc', 'Goalkeeper', '4601'], ['Chris Mepham', 'Defender', '14063'], ['Junior Stanislas', 'Defender', '3766'], ['Nathan Aké', 'Defender', '4499'], ['Steve Cook', 'Defender', '8045'], ['Ryan Fraser', 'Midfielder', '8052'], ['Dan Gosling', 'Midfielder', '3390'], ['Jefferson Lerma', 'Midfielder', '37776'], ['David Brooks', 'Midfielder', '13706'], ['Callum Wilson', 'Forward', '8454'], ['Joshua King', 'Forward', '3926'], ['Sergio Rico', 'Goalkeeper', '7213'], ['Maxime Le Marchand', 'Defender', '20503'], ['Tim Ream', 'Defender', '4276'], ['Joe Bryan', 'Defender', '8185'], ['Denis Odoi', 'Defender', '12536'], ['Ryan Babel', 'Midfielder', '3413'], ['Calum Chambers', 'Midfielder', '4620'], ['Ryan Sessegnon', 'Midfielder', '14656'], ['Frank Anguissa', 'Midfielder', '32162'], ['Jean Seri', 'Midfielder', '7013'], ['Aleksandar Mitrovic', 'Forward', '5879']]"
38650,"['Cardiff', 'Liverpool']","['0', '2']","['0', '0']",Sun 21 Apr 2019,"['4-1-4-1', '4-3-3']","[['Neil Etheridge', 'Goalkeeper', '4120'], ['Lee Peltier', 'Defender', '3138'], ['Bruno Ecuele Manga', 'Defender', '10633'], ['Sean Morrison', 'Defender', '4577'], ['Joe Bennett', 'Defender', '3672'], ['Joe Ralls', 'Midfielder', '10074'], ['Junior Hoilett', 'Midfielder', '3823'], ['Víctor Camarasa', 'Midfielder', '22952'], ['Aron Gunnarsson', 'Midfielder', '4736'], ['Nathaniel Méndez-Laing', 'Midfielder', '4006'], ['Oumar Niasse', 'Forward', '13390'], ['Alisson Becker', 'Goalkeeper', '20559'], ['Trent Alexander-Arnold', 'Defender', '14732'], ['Virgil van Dijk', 'Defender', '5140'], ['Andy Robertson', 'Defender', '10458'], ['Joël Matip', 'Defender', '5375'], ['Jordan Henderson', 'Midfielder', '3712'], ['Georginio Wijnaldum', 'Midfielder', '7114'], ['Naby Keïta', 'Midfielder', '12316'], ['Sadio Mané', 'Forward', '6519'], ['Roberto Firmino', 'Forward', '13511'], ['Mohamed Salah', 'Forward', '5178']]"
38651,"['Chelsea', 'Burnley']","['2', '2']","['2', '2']",Mon 22 Apr 2019,"['4-3-3', '4-4-2']","[['Kepa', 'Goalkeeper', '11373'], ['César Azpilicueta', 'Defender', '4496'], ['Andreas Christensen', 'Defender', '4495'], ['David Luiz', 'Defender', '4100'], ['Emerson', 'Defender', '16803'], ['Jorginho', 'Midfielder', '5682'], ['Ruben Loftus-Cheek', 'Midfielder', '5179'], [""N'Golo Kanté"", 'Midfielder', '13492'], ['Eden Hazard', 'Forward', '4503'], ['Callum Hudson-Odoi', 'Forward', '23702'], ['Gonzalo Higuaín', 'Forward', '5698'], ['Tom Heaton', 'Goalkeeper', '2933'], ['Charlie Taylor', 'Defender', '8691'], ['Matthew Lowton', 'Defender', '4487'], ['Ben Mee', 'Defender', '3909'], ['James Tarkowski', 'Defender', '8143'], ['Jack Cork', 'Midfielder', '2889'], ['Ashley Westwood', 'Midfielder', '4489'], ['Dwight McNeil', 'Midfielder', '24797'], ['Jeff Hendrick', 'Midfielder', '8586'], ['Chris Wood', 'Forward', '3756'], ['Ashley Barnes', 'Forward', '8246']]"
38652,"['Everton', 'Man Utd']","['4', '0']","['2', '0']",Sun 21 Apr 2019,"['4-2-3-1', '4-3-3']","[['Jordan Pickford', 'Goalkeeper', '4640'], ['Kurt Zouma', 'Defender', '5175'], ['Séamus Coleman', 'Defender', '3600'], ['Michael Keane', 'Defender', '4333'], ['Lucas Digne', 'Defender', '5758'], ['Gylfi Sigurdsson', 'Midfielder', '4421'], ['Bernard', 'Midfielder', '5907'], ['Morgan Schneiderlin', 'Midfielder', '4615'], ['Richarlison', 'Midfielder', '24630'], ['Idrissa Gueye', 'Midfielder', '12582'], ['Dominic Calvert-Lewin', 'Forward', '9576'], ['David de Gea', 'Goalkeeper', '4330'], ['Diogo Dalot', 'Defender', '24252'], ['Victor Lindelöf', 'Defender', '5066'], ['Phil Jones', 'Defender', '3820'], ['Chris Smalling', 'Defender', '3613'], ['Nemanja Matic', 'Midfielder', '3861'], ['Paul Pogba', 'Midfielder', '3920'], ['Fred', 'Midfielder', '5906'], ['Romelu Lukaku', 'Forward', '4290'], ['Marcus Rashford', 'Forward', '13565'], ['Anthony Martial', 'Forward', '11272']]"
38653,"['Huddersfield', 'Watford']","['1', '2']","['0', '1']",Sat 20 Apr 2019,"['4-4-1-1', '4-2-2-2']","[['Jonas Lössl', 'Goalkeeper', '12444'], ['Erik Durm', 'Defender', '5097'], ['Terence Kongolo', 'Defender', '12359'], ['Christopher Schindler', 'Defender', '19607'], ['Tommy Smith', 'Defender', '8878'], ['Elias Kachunga', 'Midfielder', '19611'], ['Isaac Mbenza', 'Midfielder', '20646'], ['Juninho Bacuna', 'Midfielder', '15687'], ['Jonathan Hogg', 'Midfielder', '3801'], ['Aaron Mooy', 'Forward', '19619'], ['Steve Mounié', 'Forward', '22570'], ['Ben Foster', 'Goalkeeper', '2932'], ['Craig Cathcart', 'Defender', '3160'], ['Adrian Mariappa', 'Defender', '3251'], ['Kiko Femenía', 'Defender', '22546'], ['Adam Masina', 'Defender', '49992'], ['Abdoulaye Doucouré', 'Midfielder', '13823'], ['Will Hughes', 'Midfielder', '8589'], ['Ken Sema', 'Midfielder', '25089'], ['Étienne Capoue', 'Midfielder', '4843'], ['Gerard Deulofeu', 'Forward', '4777'], ['Andre Gray', 'Forward', '9060']]"
38654,"['Man City', 'Spurs']","['1', '0']","['1', '0']",Sat 20 Apr 2019,"['4-3-3', '5-3-2']","[['Ederson', 'Goalkeeper', '12707'], ['Aymeric Laporte', 'Defender', '11044'], ['Kyle Walker', 'Defender', '3955'], ['Oleksandr Zinchenko', 'Defender', '19620'], ['John Stones', 'Defender', '4505'], ['Ilkay Gündogan', 'Midfielder', '5101'], ['Kevin De Bruyne', 'Midfielder', '4288'], ['Phil Foden', 'Midfielder', '14805'], ['Sergio Agüero', 'Forward', '4328'], ['Bernardo Silva', 'Forward', '5067'], ['Raheem Sterling', 'Forward', '4316'], ['Paulo Gazzaniga', 'Goalkeeper', '4600'], ['Davinson Sánchez', 'Defender', '20224'], ['Toby Alderweireld', 'Defender', '4916'], ['Jan Vertonghen', 'Defender', '4666'], ['Juan Foyth', 'Defender', '25309'], ['Ben Davies', 'Defender', '4408'], ['Eric Dier', 'Midfielder', '4112'], ['Christian Eriksen', 'Midfielder', '4845'], ['Dele Alli', 'Midfielder', '9167'], ['Lucas Moura', 'Forward', '5762'], ['Son Heung-Min', 'Forward', '4999']]"
38655,"['Newcastle', 'Southampton']","['3', '1']","['2', '0']",Sat 20 Apr 2019,"['5-4-1', '3-4-2-1']","[['Martin Dúbravka', 'Goalkeeper', '6451'], ['Fabian Schär', 'Defender', '5220'], ['Matt Ritchie', 'Defender', '3934'], ['Paul Dummett', 'Defender', '4340'], ['Javier Manquillo', 'Defender', '4918'], ['Jamaal Lascelles', 'Defender', '9257'], ['Miguel Almirón', 'Midfielder', '54312'], ['Ki Sung-Yeung', 'Midfielder', '4656'], ['Isaac Hayden', 'Midfielder', '4713'], ['Ayoze Pérez', 'Midfielder', '10487'], ['Salomón Rondón', 'Forward', '6030'], ['Angus Gunn', 'Goalkeeper', '15269'], ['Jack Stephens', 'Defender', '4612'], ['Jan Bednarek', 'Defender', '19589'], ['Maya Yoshida', 'Defender', '4605'], ['James Ward-Prowse', 'Midfielder', '4617'], ['Ryan Bertrand', 'Midfielder', '2886'], ['Pierre-Emile Højbjerg', 'Midfielder', '5272'], ['Oriol Romeu', 'Midfielder', '4286'], ['Nathan Redmond', 'Forward', '3811'], ['Josh Sims', 'Forward', '15374'], ['Danny Ings', 'Forward', '8245']]"
38656,"['West Ham', 'Leicester']","['2', '2']","['1', '0']",Sat 20 Apr 2019,"['4-1-4-1', '4-4-1-1']","[['Lukasz Fabianski', 'Goalkeeper', '3309'], ['Pablo Zabaleta', 'Defender', '3654'], ['Fabián Balbuena', 'Defender', '32435'], ['Arthur Masuaku', 'Defender', '11284'], ['Angelo Ogbonna', 'Defender', '5514'], ['Mark Noble', 'Midfielder', '3014'], ['Felipe Anderson', 'Midfielder', '6784'], ['Michail Antonio', 'Midfielder', '9595'], ['Robert Snodgrass', 'Midfielder', '4558'], ['Declan Rice', 'Midfielder', '15202'], ['Marko Arnautovic', 'Forward', '4823'], ['Kasper Schmeichel', 'Goalkeeper', '2508'], ['Ricardo Pereira', 'Defender', '5343'], ['Ben Chilwell', 'Defender', '13491'], ['Harry Maguire', 'Defender', '9566'], ['Jonny Evans', 'Defender', '3156'], ['Demarai Gray', 'Midfielder', '7946'], ['Wilfred Ndidi', 'Midfielder', '20479'], ['Youri Tielemans', 'Midfielder', '5865'], ['Marc Albrighton', 'Midfielder', '3564'], ['Jamie Vardy', 'Forward', '8979'], ['James Maddison', 'Forward', '8456']]"
38657,"['Wolves', 'Brighton']","['0', '0']","['0', '0']",Sat 20 Apr 2019,"['3-5-2', '4-3-3']","[['Rui Patrício', 'Goalkeeper', '11341'], ['Willy-Arnaud Boly', 'Defender', '16204'], ['Ryan Bennett', 'Defender', '4351'], ['Conor Coady', 'Defender', '4136'], ['João Moutinho', 'Midfielder', '11259'], ['Morgan Gibbs-White', 'Midfielder', '15259'], ['Rúben Neves', 'Midfielder', '11180'], ['Matt Doherty', 'Midfielder', '4229'], ['Jonny Otto', 'Midfielder', '20277'], ['Diogo Jota', 'Forward', '19758'], ['Raúl Jiménez', 'Forward', '11071'], ['Mathew Ryan', 'Goalkeeper', '12192'], ['Shane Duffy', 'Defender', '3601'], ['Bruno', 'Defender', '8162'], ['Lewis Dunk', 'Defender', '8163'], ['Gaëtan Bong', 'Defender', '5721'], ['Davy Pröpper', 'Midfielder', '16790'], ['Dale Stephens', 'Midfielder', '8168'], ['Pascal Groß', 'Midfielder', '22542'], ['Glenn Murray', 'Forward', '4772'], ['José Izquierdo', 'Forward', '12212'], ['Solly March', 'Forward', '8171']]"
38658,"['Brighton', 'Newcastle']","['1', '1']","['0', '1']",Sat 27 Apr 2019,"['4-4-2', '5-4-1']","[['Mathew Ryan', 'Goalkeeper', '12192'], ['Shane Duffy', 'Defender', '3601'], ['Lewis Dunk', 'Defender', '8163'], ['Bruno', 'Defender', '8162'], ['Bernardo', 'Defender', '23591'], ['José Izquierdo', 'Midfielder', '12212'], ['Dale Stephens', 'Midfielder', '8168'], ['Beram Kayal', 'Midfielder', '5156'], ['Pascal Groß', 'Midfielder', '22542'], ['Glenn Murray', 'Forward', '4772'], ['Florin Andone', 'Forward', '37587'], ['Martin Dúbravka', 'Goalkeeper', '6451'], ['Federico Fernández', 'Defender', '5672'], ['Fabian Schär', 'Defender', '5220'], ['Matt Ritchie', 'Defender', '3934'], ['Paul Dummett', 'Defender', '4340'], ['Javier Manquillo', 'Defender', '4918'], ['Jonjo Shelvey', 'Midfielder', '4135'], ['Isaac Hayden', 'Midfielder', '4713'], ['Ayoze Pérez', 'Midfielder', '10487'], ['Christian Atsu', 'Midfielder', '4859'], ['Salomón Rondón', 'Forward', '6030']]"
38659,"['Burnley', 'Man City']","['0', '1']","['0', '0']",Sun 28 Apr 2019,"['4-4-2', '4-3-3']","[['Tom Heaton', 'Goalkeeper', '2933'], ['James Tarkowski', 'Defender', '8143'], ['Matthew Lowton', 'Defender', '4487'], ['Charlie Taylor', 'Defender', '8691'], ['Ben Mee', 'Defender', '3909'], ['Dwight McNeil', 'Midfielder', '24797'], ['Jeff Hendrick', 'Midfielder', '8586'], ['Ashley Westwood', 'Midfielder', '4489'], ['Jack Cork', 'Midfielder', '2889'], ['Ashley Barnes', 'Forward', '8246'], ['Chris Wood', 'Forward', '3756'], ['Ederson', 'Goalkeeper', '12707'], ['Vincent Kompany', 'Defender', '3653'], ['Aymeric Laporte', 'Defender', '11044'], ['Kyle Walker', 'Defender', '3955'], ['Oleksandr Zinchenko', 'Defender', '19620'], ['David Silva', 'Midfielder', '4145'], ['Ilkay Gündogan', 'Midfielder', '5101'], ['Bernardo Silva', 'Midfielder', '5067'], ['Sergio Agüero', 'Forward', '4328'], ['Raheem Sterling', 'Forward', '4316'], ['Leroy Sané', 'Forward', '5384']]"
38660,"['Crystal Palace', 'Everton']","['0', '0']","['0', '0']",Sat 27 Apr 2019,"['4-4-2', '4-2-3-1']","[['Vicente Guaita', 'Goalkeeper', '7548'], ['Aaron Wan-Bissaka', 'Defender', '14164'], ['Scott Dann', 'Defender', '3807'], ['Martin Kelly', 'Defender', '3644'], ['Patrick van Aanholt', 'Defender', '3362'], ['Max Meyer', 'Midfielder', '5377'], ['Cheikhou Kouyaté', 'Midfielder', '5861'], ['Luka Milivojevic', 'Midfielder', '5859'], ['James McArthur', 'Midfielder', '4224'], ['Wilfried Zaha', 'Forward', '4539'], ['Christian Benteke', 'Forward', '4492'], ['Jordan Pickford', 'Goalkeeper', '4640'], ['Kurt Zouma', 'Defender', '5175'], ['Séamus Coleman', 'Defender', '3600'], ['Michael Keane', 'Defender', '4333'], ['Lucas Digne', 'Defender', '5758'], ['Idrissa Gueye', 'Midfielder', '12582'], ['Gylfi Sigurdsson', 'Midfielder', '4421'], ['Morgan Schneiderlin', 'Midfielder', '4615'], ['Richarlison', 'Midfielder', '24630'], ['Bernard', 'Midfielder', '5907'], ['Dominic Calvert-Lewin', 'Forward', '9576']]"
38661,"['Fulham', 'Cardiff']","['1', '0']","['0', '0']",Sat 27 Apr 2019,"['4-2-3-1', '4-2-3-1']","[['Sergio Rico', 'Goalkeeper', '7213'], ['Tim Ream', 'Defender', '4276'], ['Maxime Le Marchand', 'Defender', '20503'], ['Joe Bryan', 'Defender', '8185'], ['Denis Odoi', 'Defender', '12536'], ['Ryan Sessegnon', 'Midfielder', '14656'], ['Tom Cairney', 'Midfielder', '3894'], ['Ryan Babel', 'Midfielder', '3413'], ['Frank Anguissa', 'Midfielder', '32162'], ['Calum Chambers', 'Midfielder', '4620'], ['Aleksandar Mitrovic', 'Forward', '5879'], ['Neil Etheridge', 'Goalkeeper', '4120'], ['Sean Morrison', 'Defender', '4577'], ['Lee Peltier', 'Defender', '3138'], ['Joe Bennett', 'Defender', '3672'], ['Bruno Ecuele Manga', 'Defender', '10633'], ['Nathaniel Méndez-Laing', 'Midfielder', '4006'], ['Víctor Camarasa', 'Midfielder', '22952'], ['Leandro Bacuna', 'Midfielder', '4721'], ['Aron Gunnarsson', 'Midfielder', '4736'], ['Junior Hoilett', 'Midfielder', '3823'], ['Oumar Niasse', 'Forward', '13390']]"
38662,"['Leicester', 'Arsenal']","['3', '0']","['0', '0']",Sun 28 Apr 2019,"['4-1-4-1', '4-4-2']","[['Kasper Schmeichel', 'Goalkeeper', '2508'], ['Ben Chilwell', 'Defender', '13491'], ['Ricardo Pereira', 'Defender', '5343'], ['Jonny Evans', 'Defender', '3156'], ['Harry Maguire', 'Defender', '9566'], ['James Maddison', 'Midfielder', '8456'], ['Wilfred Ndidi', 'Midfielder', '20479'], ['Youri Tielemans', 'Midfielder', '5865'], ['Hamza Choudhury', 'Midfielder', '13248'], ['Marc Albrighton', 'Midfielder', '3564'], ['Jamie Vardy', 'Forward', '8979'], ['Bernd Leno', 'Goalkeeper', '4985'], ['Sead Kolasinac', 'Defender', '5368'], ['Ainsley Maitland-Niles', 'Defender', '10428'], ['Shkodran Mustafi', 'Defender', '3869'], ['Sokratis Papastathopoulos', 'Defender', '5093'], ['Granit Xhaka', 'Midfielder', '12136'], ['Henrikh Mkhitaryan', 'Midfielder', '5102'], ['Alex Iwobi', 'Midfielder', '4717'], ['Lucas Torreira', 'Midfielder', '23033'], ['Pierre-Emerick Aubameyang', 'Forward', '5110'], ['Alexandre Lacazette', 'Forward', '6899']]"
38663,"['Liverpool', 'Huddersfield']","['5', '0']","['3', '0']",Fri 26 Apr 2019,"['4-3-3', '4-1-4-1']","[['Alisson Becker', 'Goalkeeper', '20559'], ['Trent Alexander-Arnold', 'Defender', '14732'], ['Andy Robertson', 'Defender', '10458'], ['Dejan Lovren', 'Defender', '4813'], ['Virgil van Dijk', 'Defender', '5140'], ['Naby Keïta', 'Midfielder', '12316'], ['Jordan Henderson', 'Midfielder', '3712'], ['Georginio Wijnaldum', 'Midfielder', '7114'], ['Mohamed Salah', 'Forward', '5178'], ['Sadio Mané', 'Forward', '6519'], ['Daniel Sturridge', 'Forward', '3154'], ['Jonas Lössl', 'Goalkeeper', '12444'], ['Erik Durm', 'Defender', '5097'], ['Christopher Schindler', 'Defender', '19607'], ['Terence Kongolo', 'Defender', '12359'], ['Tommy Smith', 'Defender', '8878'], ['Isaac Mbenza', 'Midfielder', '20646'], ['Jonathan Hogg', 'Midfielder', '3801'], ['Juninho Bacuna', 'Midfielder', '15687'], ['Jon Gorenc Stankovic', 'Midfielder', '11134'], ['Karlan Grant', 'Midfielder', '10654'], ['Steve Mounié', 'Forward', '22570']]"
38664,"['Man Utd', 'Chelsea']","['1', '1']","['1', '1']",Sun 28 Apr 2019,"['4-3-1-2', '4-3-3']","[['David de Gea', 'Goalkeeper', '4330'], ['Luke Shaw', 'Defender', '4608'], ['Victor Lindelöf', 'Defender', '5066'], ['Ashley Young', 'Defender', '3062'], ['Eric Bailly', 'Defender', '12937'], ['Nemanja Matic', 'Midfielder', '3861'], ['Ander Herrera', 'Midfielder', '10475'], ['Paul Pogba', 'Midfielder', '3920'], ['Juan Mata', 'Midfielder', '4287'], ['Marcus Rashford', 'Forward', '13565'], ['Romelu Lukaku', 'Forward', '4290'], ['Kepa', 'Goalkeeper', '11373'], ['Antonio Rüdiger', 'Defender', '16801'], ['César Azpilicueta', 'Defender', '4496'], ['David Luiz', 'Defender', '4100'], ['Marcos Alonso', 'Defender', '4093'], ['Jorginho', 'Midfielder', '5682'], [""N'Golo Kanté"", 'Midfielder', '13492'], ['Mateo Kovacic', 'Midfielder', '12520'], ['Gonzalo Higuaín', 'Forward', '5698'], ['Willian', 'Forward', '4748'], ['Eden Hazard', 'Forward', '4503']]"
38665,"['Southampton', 'Bournemouth']","['3', '3']","['1', '2']",Sat 27 Apr 2019,"['4-3-3', '5-3-2']","[['Angus Gunn', 'Goalkeeper', '15269'], ['Yan Valery', 'Defender', '15011'], ['Jan Bednarek', 'Defender', '19589'], ['Jack Stephens', 'Defender', '4612'], ['Ryan Bertrand', 'Defender', '2886'], ['James Ward-Prowse', 'Midfielder', '4617'], ['Pierre-Emile Højbjerg', 'Midfielder', '5272'], ['Oriol Romeu', 'Midfielder', '4286'], ['Nathan Redmond', 'Forward', '3811'], ['Shane Long', 'Forward', '3206'], ['Danny Ings', 'Forward', '8245'], ['Artur Boruc', 'Goalkeeper', '4601'], ['Chris Mepham', 'Defender', '14063'], ['Steve Cook', 'Defender', '8045'], ['Nathaniel Clyne', 'Defender', '4604'], ['Nathan Aké', 'Defender', '4499'], ['Jack Simpson', 'Defender', '13193'], ['Jefferson Lerma', 'Midfielder', '37776'], ['Dan Gosling', 'Midfielder', '3390'], ['David Brooks', 'Midfielder', '13706'], ['Joshua King', 'Forward', '3926'], ['Callum Wilson', 'Forward', '8454']]"
38666,"['Spurs', 'West Ham']","['0', '1']","['0', '0']",Sat 27 Apr 2019,"['4-1-2-1-2', '4-1-4-1']","[['Hugo Lloris', 'Goalkeeper', '4664'], ['Juan Foyth', 'Defender', '25309'], ['Davinson Sánchez', 'Defender', '20224'], ['Ben Davies', 'Defender', '4408'], ['Toby Alderweireld', 'Defender', '4916'], ['Eric Dier', 'Midfielder', '4112'], ['Dele Alli', 'Midfielder', '9167'], ['Christian Eriksen', 'Midfielder', '4845'], ['Danny Rose', 'Midfielder', '3507'], ['Lucas Moura', 'Forward', '5762'], ['Son Heung-Min', 'Forward', '4999'], ['Lukasz Fabianski', 'Goalkeeper', '3309'], ['Ryan Fredericks', 'Defender', '3958'], ['Fabián Balbuena', 'Defender', '32435'], ['Issa Diop', 'Defender', '49884'], ['Arthur Masuaku', 'Defender', '11284'], ['Mark Noble', 'Midfielder', '3014'], ['Felipe Anderson', 'Midfielder', '6784'], ['Michail Antonio', 'Midfielder', '9595'], ['Robert Snodgrass', 'Midfielder', '4558'], ['Declan Rice', 'Midfielder', '15202'], ['Marko Arnautovic', 'Forward', '4823']]"
38667,"['Watford', 'Wolves']","['1', '2']","['0', '1']",Sat 27 Apr 2019,"['4-2-2-2', '3-5-2']","[['Ben Foster', 'Goalkeeper', '2932'], ['Adrian Mariappa', 'Defender', '3251'], ['Kiko Femenía', 'Defender', '22546'], ['Craig Cathcart', 'Defender', '3160'], ['José Holebas', 'Defender', '5713'], ['Roberto Pereyra', 'Midfielder', '11213'], ['Étienne Capoue', 'Midfielder', '4843'], ['Will Hughes', 'Midfielder', '8589'], ['Abdoulaye Doucouré', 'Midfielder', '13823'], ['Gerard Deulofeu', 'Forward', '4777'], ['Andre Gray', 'Forward', '9060'], ['Rui Patrício', 'Goalkeeper', '11341'], ['Conor Coady', 'Defender', '4136'], ['Willy-Arnaud Boly', 'Defender', '16204'], ['Ryan Bennett', 'Defender', '4351'], ['Matt Doherty', 'Midfielder', '4229'], ['João Moutinho', 'Midfielder', '11259'], ['Jonny Otto', 'Midfielder', '20277'], ['Rúben Neves', 'Midfielder', '11180'], ['Leander Dendoncker', 'Midfielder', '5866'], ['Raúl Jiménez', 'Forward', '11071'], ['Diogo Jota', 'Forward', '19758']]"
38668,"['Arsenal', 'Brighton']","['1', '1']","['1', '0']",Sun 5 May 2019,"['4-3-1-2', '4-5-1']","[['Bernd Leno', 'Goalkeeper', '4985'], ['Stephan Lichtsteiner', 'Defender', '5520'], ['Shkodran Mustafi', 'Defender', '3869'], ['Sokratis Papastathopoulos', 'Defender', '5093'], ['Nacho Monreal', 'Defender', '4472'], ['Lucas Torreira', 'Midfielder', '23033'], ['Henrikh Mkhitaryan', 'Midfielder', '5102'], ['Mesut Özil', 'Midfielder', '4714'], ['Granit Xhaka', 'Midfielder', '12136'], ['Alexandre Lacazette', 'Forward', '6899'], ['Pierre-Emerick Aubameyang', 'Forward', '5110'], ['Mathew Ryan', 'Goalkeeper', '12192'], ['Lewis Dunk', 'Defender', '8163'], ['Shane Duffy', 'Defender', '3601'], ['Bernardo', 'Defender', '23591'], ['Bruno', 'Defender', '8162'], ['Pascal Groß', 'Midfielder', '22542'], ['Dale Stephens', 'Midfielder', '8168'], ['Solly March', 'Midfielder', '8171'], ['Yves Bissouma', 'Midfielder', '50245'], ['Alireza Jahanbakhsh', 'Midfielder', '15480'], ['Glenn Murray', 'Forward', '4772']]"
