match,teams,score,ht_score,date,formations,players
38318,"['Brighton', 'Man Utd']","['3', '2']","['3', '1']",Sun 19 Aug 2018,"['4-4-1-1', '4-3-3']","[['Mathew Ryan', 'Goalkeeper', '12192'], ['Lewis Dunk', 'Defender', '8163'], ['Shane Duffy', 'Defender', '3601'], ['Martín Montoya', 'Defender', '4955'], ['Gaëtan Bong', 'Defender', '5721'], ['Davy Pröpper', 'Midfielder', '16790'], ['Dale Stephens', 'Midfielder', '8168'], ['Solly March', 'Midfielder', '8171'], ['Anthony Knockaert', 'Midfielder', '8982'], ['Pascal Groß', 'Forward', '22542'], ['Glenn Murray', 'Forward', '4772'], ['David de Gea', 'Goalkeeper', '4330'], ['Eric Bailly', 'Defender', '12937'], ['Ashley Young', 'Defender', '3062'], ['Luke Shaw', 'Defender', '4608'], ['Victor Lindelöf', 'Defender', '5066'], ['Paul Pogba', 'Midfielder', '3920'], ['Fred', 'Midfielder', '5906'], ['Andreas Pereira', 'Midfielder', '10476'], ['Anthony Martial', 'Forward', '11272'], ['Romelu Lukaku', 'Forward', '4290'], ['Juan Mata', 'Forward', '4287']]"
38319,"['Burnley', 'Watford']","['1', '3']","['1', '1']",Sun 19 Aug 2018,"['4-4-1-1', '4-2-2-2']","[['Joe Hart', 'Goalkeeper', '3143'], ['Matthew Lowton', 'Defender', '4487'], ['Ben Mee', 'Defender', '3909'], ['James Tarkowski', 'Defender', '8143'], ['Stephen Ward', 'Defender', '3999'], ['Aaron Lennon', 'Midfielder', '2270'], ['Jack Cork', 'Midfielder', '2889'], ['Jóhann Gudmundsson', 'Midfielder', '6210'], ['Ashley Westwood', 'Midfielder', '4489'], ['Chris Wood', 'Forward', '3756'], ['Jeff Hendrick', 'Forward', '8586'], ['Ben Foster', 'Goalkeeper', '2932'], ['Christian Kabasele', 'Defender', '19605'], ['Daryl Janmaat', 'Defender', '10480'], ['Craig Cathcart', 'Defender', '3160'], ['José Holebas', 'Defender', '5713'], ['Roberto Pereyra', 'Midfielder', '11213'], ['Abdoulaye Doucouré', 'Midfielder', '13823'], ['Will Hughes', 'Midfielder', '8589'], ['Étienne Capoue', 'Midfielder', '4843'], ['Andre Gray', 'Forward', '9060'], ['Troy Deeney', 'Forward', '9947']]"
38320,"['Cardiff', 'Newcastle']","['0', '0']","['0', '0']",Sat 18 Aug 2018,"['4-3-3', '4-4-1-1']","[['Neil Etheridge', 'Goalkeeper', '4120'], ['Sean Morrison', 'Defender', '4577'], ['Bruno Ecuele Manga', 'Defender', '10633'], ['Joe Bennett', 'Defender', '3672'], ['Sol Bamba', 'Defender', '7500'], ['Joe Ralls', 'Midfielder', '10074'], ['Víctor Camarasa', 'Midfielder', '22952'], ['Harry Arter', 'Midfielder', '8050'], ['Kenneth Zohore', 'Forward', '6627'], ['Junior Hoilett', 'Forward', '3823'], ['Josh Murphy', 'Forward', '4561'], ['Martin Dúbravka', 'Goalkeeper', '6451'], ['Paul Dummett', 'Defender', '4340'], ['Ciaran Clark', 'Defender', '3562'], ['Javier Manquillo', 'Defender', '4918'], ['Jamaal Lascelles', 'Defender', '9257'], ['Jonjo Shelvey', 'Midfielder', '4135'], ['Kenedy', 'Midfielder', '13285'], ['Mohamed Diamé', 'Midfielder', '3982'], ['Matt Ritchie', 'Midfielder', '3934'], ['Joselu', 'Forward', '6425'], ['Ayoze Pérez', 'Forward', '10487']]"
38321,"['Chelsea', 'Arsenal']","['3', '2']","['2', '2']",Sat 18 Aug 2018,"['4-3-3', '4-2-3-1']","[['Kepa', 'Goalkeeper', '11373'], ['Marcos Alonso', 'Defender', '4093'], ['César Azpilicueta', 'Defender', '4496'], ['Antonio Rüdiger', 'Defender', '16801'], ['David Luiz', 'Defender', '4100'], [""N'Golo Kanté"", 'Midfielder', '13492'], ['Ross Barkley', 'Midfielder', '4115'], ['Jorginho', 'Midfielder', '5682'], ['Willian', 'Forward', '4748'], ['Álvaro Morata', 'Forward', '5804'], ['Pedro', 'Forward', '4972'], ['Petr Cech', 'Goalkeeper', '2651'], ['Nacho Monreal', 'Defender', '4472'], ['Sokratis Papastathopoulos', 'Defender', '5093'], ['Shkodran Mustafi', 'Defender', '3869'], ['Héctor Bellerín', 'Defender', '4474'], ['Mattéo Guendouzi', 'Midfielder', '50512'], ['Mesut Özil', 'Midfielder', '4714'], ['Henrikh Mkhitaryan', 'Midfielder', '5102'], ['Granit Xhaka', 'Midfielder', '12136'], ['Alex Iwobi', 'Midfielder', '4717'], ['Pierre-Emerick Aubameyang', 'Forward', '5110']]"
38322,"['Crystal Palace', 'Liverpool']","['0', '2']","['0', '1']",Mon 20 Aug 2018,"['4-4-2', '4-3-3']","[['Wayne Hennessey', 'Goalkeeper', '2569'], ['Aaron Wan-Bissaka', 'Defender', '14164'], ['Mamadou Sakho', 'Defender', '4796'], ['Patrick van Aanholt', 'Defender', '3362'], ['James Tomkins', 'Defender', '3517'], ['Luka Milivojevic', 'Midfielder', '5859'], ['Andros Townsend', 'Midfielder', '3724'], ['James McArthur', 'Midfielder', '4224'], ['Jeffrey Schlupp', 'Midfielder', '8980'], ['Christian Benteke', 'Forward', '4492'], ['Wilfried Zaha', 'Forward', '4539'], ['Alisson Becker', 'Goalkeeper', '20559'], ['Virgil van Dijk', 'Defender', '5140'], ['Trent Alexander-Arnold', 'Defender', '14732'], ['Joe Gomez', 'Defender', '10651'], ['Andy Robertson', 'Defender', '10458'], ['Naby Keïta', 'Midfielder', '12316'], ['James Milner', 'Midfielder', '2100'], ['Georginio Wijnaldum', 'Midfielder', '7114'], ['Roberto Firmino', 'Forward', '13511'], ['Sadio Mané', 'Forward', '6519'], ['Mohamed Salah', 'Forward', '5178']]"
38323,"['Everton', 'Southampton']","['2', '1']","['2', '0']",Sat 18 Aug 2018,"['4-2-3-1', '4-4-2']","[['Jordan Pickford', 'Goalkeeper', '4640'], ['Séamus Coleman', 'Defender', '3600'], ['Michael Keane', 'Defender', '4333'], ['Mason Holgate', 'Defender', '10564'], ['Leighton Baines', 'Defender', '3030'], ['Richarlison', 'Midfielder', '24630'], ['Morgan Schneiderlin', 'Midfielder', '4615'], ['Theo Walcott', 'Midfielder', '2839'], ['Idrissa Gueye', 'Midfielder', '12582'], ['Gylfi Sigurdsson', 'Midfielder', '4421'], ['Cenk Tosun', 'Forward', '12114'], ['Alex McCarthy', 'Goalkeeper', '4573'], ['Ryan Bertrand', 'Defender', '2886'], ['Wesley Hoedt', 'Defender', '6194'], ['Jack Stephens', 'Defender', '4612'], ['Cédric Soares', 'Defender', '11347'], ['Mario Lemina', 'Midfielder', '5583'], ['Nathan Redmond', 'Midfielder', '3811'], ['Oriol Romeu', 'Midfielder', '4286'], ['James Ward-Prowse', 'Midfielder', '4617'], ['Danny Ings', 'Forward', '8245'], ['Charlie Austin', 'Forward', '9468']]"
38324,"['Leicester', 'Wolves']","['2', '0']","['2', '0']",Sat 18 Aug 2018,"['4-2-3-1', '3-4-2-1']","[['Kasper Schmeichel', 'Goalkeeper', '2508'], ['Ricardo Pereira', 'Defender', '5343'], ['Ben Chilwell', 'Defender', '13491'], ['Jonny Evans', 'Defender', '3156'], ['Harry Maguire', 'Defender', '9566'], ['Wilfred Ndidi', 'Midfielder', '20479'], ['Nampalys Mendy', 'Midfielder', '19617'], ['Marc Albrighton', 'Midfielder', '3564'], ['James Maddison', 'Midfielder', '8456'], ['Demarai Gray', 'Midfielder', '7946'], ['Jamie Vardy', 'Forward', '8979'], ['Rui Patrício', 'Goalkeeper', '11341'], ['Conor Coady', 'Defender', '4136'], ['Ryan Bennett', 'Defender', '4351'], ['Willy-Arnaud Boly', 'Defender', '16204'], ['Rúben Neves', 'Midfielder', '11180'], ['João Moutinho', 'Midfielder', '11259'], ['Matt Doherty', 'Midfielder', '4229'], ['Jonny Otto', 'Midfielder', '20277'], ['Diogo Jota', 'Forward', '19758'], ['Raúl Jiménez', 'Forward', '11071'], ['Hélder Costa', 'Forward', '5064']]"
38325,"['Man City', 'Huddersfield']","['6', '1']","['3', '1']",Sun 19 Aug 2018,"['3-1-4-2', '4-4-2']","[['Ederson', 'Goalkeeper', '12707'], ['Vincent Kompany', 'Defender', '3653'], ['John Stones', 'Defender', '4505'], ['Aymeric Laporte', 'Defender', '11044'], ['David Silva', 'Midfielder', '4145'], ['Ilkay Gündogan', 'Midfielder', '5101'], ['Bernardo Silva', 'Midfielder', '5067'], ['Benjamin Mendy', 'Midfielder', '5575'], ['Fernandinho', 'Midfielder', '4804'], ['Gabriel Jesus', 'Forward', '19680'], ['Sergio Agüero', 'Forward', '4328'], ['Ben Hamer', 'Goalkeeper', '3183'], ['Tommy Smith', 'Defender', '8878'], ['Terence Kongolo', 'Defender', '12359'], ['Chris Löwe', 'Defender', '19608'], ['Christopher Schindler', 'Defender', '19607'], ['Florent Hadërgjonaj', 'Midfielder', '12173'], ['Jon Gorenc Stankovic', 'Midfielder', '11134'], ['Alex Pritchard', 'Midfielder', '4433'], ['Philip Billing', 'Midfielder', '8882'], ['Steve Mounié', 'Forward', '22570'], ['Abdelhamid Sabiri', 'Forward', '22591']]"
38326,"['Spurs', 'Fulham']","['3', '1']","['1', '0']",Sat 18 Aug 2018,"['3-1-4-2', '4-3-3']","[['Hugo Lloris', 'Goalkeeper', '4664'], ['Davinson Sánchez', 'Defender', '20224'], ['Jan Vertonghen', 'Defender', '4666'], ['Toby Alderweireld', 'Defender', '4916'], ['Eric Dier', 'Midfielder', '4112'], ['Ben Davies', 'Midfielder', '4408'], ['Christian Eriksen', 'Midfielder', '4845'], ['Kieran Trippier', 'Midfielder', '3905'], ['Dele Alli', 'Midfielder', '9167'], ['Harry Kane', 'Forward', '3960'], ['Lucas Moura', 'Forward', '5762'], ['Fabri', 'Goalkeeper', '19771'], ['Joe Bryan', 'Defender', '8185'], ['Timothy Fosu-Mensah', 'Defender', '13561'], ['Calum Chambers', 'Defender', '4620'], ['Maxime Le Marchand', 'Defender', '20503'], ['Jean Seri', 'Midfielder', '7013'], ['Frank Anguissa', 'Midfielder', '32162'], ['Tom Cairney', 'Midfielder', '3894'], ['Ryan Sessegnon', 'Forward', '14656'], ['Aboubakar Kamara', 'Forward', '11267'], ['Aleksandar Mitrovic', 'Forward', '5879']]"
38327,"['West Ham', 'Bournemouth']","['1', '2']","['1', '0']",Sat 18 Aug 2018,"['4-4-2', '4-4-2']","[['Lukasz Fabianski', 'Goalkeeper', '3309'], ['Angelo Ogbonna', 'Defender', '5514'], ['Fabián Balbuena', 'Defender', '32435'], ['Pablo Zabaleta', 'Defender', '3654'], ['Arthur Masuaku', 'Defender', '11284'], ['Robert Snodgrass', 'Midfielder', '4558'], ['Mark Noble', 'Midfielder', '3014'], ['Felipe Anderson', 'Midfielder', '6784'], ['Jack Wilshere', 'Midfielder', '3547'], ['Marko Arnautovic', 'Forward', '4823'], ['Chicharito', 'Forward', '4161'], ['Asmir Begovic', 'Goalkeeper', '2537'], ['Steve Cook', 'Defender', '8045'], ['Nathan Aké', 'Defender', '4499'], ['Charlie Daniels', 'Defender', '3242'], ['Adam Smith', 'Defender', '3512'], ['Dan Gosling', 'Midfielder', '3390'], ['Ryan Fraser', 'Midfielder', '8052'], ['David Brooks', 'Midfielder', '13706'], ['Andrew Surman', 'Midfielder', '2338'], ['Joshua King', 'Forward', '3926'], ['Callum Wilson', 'Forward', '8454']]"
